Id_Venta,Fecha,Cod_Producto,Cod_Cliente,Cod_Tienda,Cod_Canal,Cantidad,Importe
1001,2026-01-02,P001,C001,T01,3,5,15500.0
1002,2026-01-03,P005,C003,T03,1,2,130.0
1003,2026-01-05,P003,C004,T04,1,1,850.0
1004,2026-01-07,P007,C002,T02,3,3,2340.0
1005,2026-01-10,P004,C005,T02,3,2,2300.0
1006,2026-01-12,P002,C006,T05,1,1,2900.0
1007,2026-01-15,P008,C007,T01,3,4,1280.0
1008,2026-01-18,P006,C008,T03,1,3,225.0
1009,2026-01-21,P001,C005,T02,3,2,6200.0
1010,2026-01-25,P003,C003,T04,1,2,1700.0
1011,2026-02-02,P001,C001,T01,3,3,9300.0
1012,2026-02-05,P005,C004,T03,1,5,325.0
1013,2026-02-09,P004,C002,T02,3,2,2300.0
1014,2026-02-12,P007,C006,T05,1,1,780.0
1015,2026-02-16,P002,C007,T01,3,4,11600.0
1016,2026-02-20,P008,C003,T04,1,3,960.0
1017,2026-02-24,P003,C005,T02,3,5,4250.0
1018,2026-02-28,P009,C008,T03,1,2,560.0
2001,2026-03-01,P002,C004,T01,1,1,2900.0
2002,2026-03-02,P005,C003,T01,1,2,130.0
2003,2026-03-03,P004,C006,T01,1,1,1150.0
2004,2026-03-04,P007,C002,T01,1,1,780.0
2005,2026-03-05,P001,C005,T01,1,2,6400.0
